ConversationID,Timestamp,Feeling
03437c2f-c5fc-432f-9ab5-a236c368d880,2024-08-12 13:05:49.878602,Feliz
8e38a9e6-4be9-43ea-8629-f84575b6b101,2024-08-12 13:20:31.036790,Estresado
